id,title,price,promo_price,url
3413262,Набор ершиков Babyono 5штук Голубой 735/01,642,,https://www.detmir.ru/product/index/id/3413262/
4424705,Гель для мытья рук и умывания WONDER Lab розовые персики 540мл,285,209,https://www.detmir.ru/product/index/id/4424705/
4546074,Набор ёршиков Baby Planet 8408,395,280,https://www.detmir.ru/product/index/id/4546074/
3413269,Ершик для бутылочек Babyono Голубой 721,240,,https://www.detmir.ru/product/index/id/3413269/
4424699,Гель для мытья посуды WONDER Lab жасмин и морская соль 1л,395,355,https://www.detmir.ru/product/index/id/4424699/
4595066,Гель-бальзам для мытья посуды Synergetic Сочный гранат-Абрикос 3.5л,1299,,https://www.detmir.ru/product/index/id/4595066/
4595055,Гель-бальзам для мытья посуды Synergetic Базилик-Cвежая мята 0.5л,269,,https://www.detmir.ru/product/index/id/4595055/
3473554,Экспресс-очиститель Top House для посудомоечных машин 250 мл,450,279,https://www.detmir.ru/product/index/id/3473554/
3885625,Ополаскиватель для всех видов посудомоечных машин Rossinka 500мл,189,,https://www.detmir.ru/product/index/id/3885625/
3374168,Ершик для бутылочек Nuk 2в1 с губкой Голубой 10720279,775,,https://www.detmir.ru/product/index/id/3374168/
3413268,Ершик для бутылочек Babyono Зеленый 721,240,,https://www.detmir.ru/product/index/id/3413268/
3413261,Набор ершиков Babyono для бутылочек и сосок Серый 728/04,519,,https://www.detmir.ru/product/index/id/3413261/
3858070,Соль для посудомоечных машин Jundo ионизированная серебром 3 кг,790,363,https://www.detmir.ru/product/index/id/3858070/
3664420,Гель для мытья посуды Neutrale гипоаллергенный без запаха и фосфатов для чувствительной кожи ЭКО 400мл,309,247,https://www.detmir.ru/product/index/id/3664420/
4695749,Бальзам для мытья посуды Nativica Защита кожи мицеллярный 400мл,209,,https://www.detmir.ru/product/index/id/4695749/
4424702,Гель для мытья посуды WONDER Lab жасмин и морская соль 550мл,275,205,https://www.detmir.ru/product/index/id/4424702/
3202957,Средство для мытья посуды LION Chamgreen концентрированное Розмарин запасной блок 860мл,529,339,https://www.detmir.ru/product/index/id/3202957/
4595061,Гель-бальзам для мытья посуды Synergetic Розовый грейпфрут-Специи 0.5л,269,,https://www.detmir.ru/product/index/id/4595061/
3473494,Таблетки Nordland для посудомоечных машин 32 шт,799,535,https://www.detmir.ru/product/index/id/3473494/
3665716,Средство Molecola для мытья фруктов и овощей 550 мл,411,250,https://www.detmir.ru/product/index/id/3665716/
4695748,Бальзам для мытья посуды Nativica мицеллярный 400мл,209,,https://www.detmir.ru/product/index/id/4695748/
4595064,Гель-бальзам для мытья посуды Synergetic Сочный гранат-Абрикос 0.5л,269,,https://www.detmir.ru/product/index/id/4595064/
3665685,Гель для мытья посуды Palmia Caramel с ароматом карамели 5 л,1613,951,https://www.detmir.ru/product/index/id/3665685/
4692754,Средство для мытья посуды CJ LION Charmgreen овощей и фруктов гранат 470 г,713,442,https://www.detmir.ru/product/index/id/4692754/
3619453,Ершики Мультидом для посуды 4шт,304,,https://www.detmir.ru/product/index/id/3619453/
